ID,consent,Participant_ID,age,male,female,non-binary,pref not say,license,license_in_years,set1_5_difficulty,set6_10_difficulty,set11_15_difficulty,set16_20_difficulty,set21_25_difficulty,set26_30_difficulty,set31_35_difficulty
16,Yes,S8,20.0,Yes,No,No,No,Yes,2,4.0,5.0,7.0,4.0,5.0,4.0,5.0
17,Yes,S5,20.0,No,Yes,No,No,Yes,1,7.0,4.0,6.0,8.0,7.0,6.0,5.0
18,Yes,S6,19.0,No,Yes,No,No,Yes,1,6.0,3.0,8.0,9.0,7.0,6.0,7.0
19,Yes,S8,19.0,No,Yes,No,No,Yes,0,6.0,4.0,7.0,8.0,7.0,9.0,8.0
20,Yes,S9,20.0,Yes,No,No,No,Yes,2,4.0,3.0,4.0,6.0,4.0,5.0,3.0
21,Yes,S10,19.0,No,Yes,No,No,Yes,0,8.0,7.0,5.0,6.0,6.0,6.0,6.0
22,Yes,S11,20.0,Yes,No,No,No,No,,2.0,5.0,6.0,7.0,9.0,7.0,8.0
23,Yes,E1,22.0,No,Yes,No,No,Yes,5 years,3.0,6.0,5.0,7.0,8.0,5.0,4.0
24,Yes,E2,20.0,No,Yes,No,No,No,,4.0,6.0,6.0,5.0,4.0,7.0,5.0
25,Yes,E3,19.0,No,Yes,No,No,Yes,1,3.0,5.0,7.0,8.0,5.0,5.0,4.0
26,Yes,E4,19.0,Yes,No,No,No,No,,3.0,4.0,6.0,7.0,7.0,6.0,6.0
27,Yes,E5,21.0,No,Yes,No,No,No,,5.0,6.0,7.0,6.0,7.0,8.0,7.0
28,Yes,E6,20.0,No,Yes,No,No,No,,5.0,4.0,4.0,6.0,8.0,9.0,7.0
29,Yes,S12,21.0,No,Yes,No,No,No,,3.0,4.0,4.0,3.0,4.0,6.0,4.0
30,Yes,O5,19.0,Yes,No,No,No,Yes,3 months,9.0,3.0,3.0,6.0,7.0,3.0,5.0
31,Yes,06,25.0,Yes,No,No,No,No,,9.0,2.0,1.0,2.0,3.0,6.0,5.0
32,Yes,S13,21.0,Yes,No,No,No,No,,8.0,8.0,8.0,8.0,8.0,7.0,6.0
33,,,,,,,,,,,,,,,,
34,Yes,S14,19.0,No,No,Yes,No,No,,6.0,4.0,5.0,4.0,4.0,4.0,3.0
35,Yes,S15,19.0,No,Yes,No,No,No,,6.0,8.0,7.0,7.0,7.0,8.0,8.0
36,Yes,S16,18.0,No,No,No,Yes,No,,7.0,8.0,4.0,6.0,7.0,8.0,8.0
37,Yes,A5,19.0,Yes,No,No,No,Yes,1 year,4.0,1.0,2.0,4.0,1.0,2.0,5.0
38,Yes,A6,23.0,Yes,No,No,No,Yes,4 years,3.0,2.0,1.0,1.0,1.0,8.0,2.0
39,Yes,S17,19.0,Yes,No,No,No,No,,4.0,6.0,8.0,8.0,2.0,7.0,6.0
40,Yes,O7,15.0,No,Yes,No,No,No,,4.0,7.0,3.0,6.0,5.0,7.0,6.0
41,Yes,O8,17.0,No,Yes,No,No,No,,6.0,5.0,6.0,4.0,5.0,3.0,3.0
1,Yes,O9,18.0,Yes,No,No,No,No,,8.0,3.0,8.0,9.0,9.0,5.0,6.0
2,Yes,O10,19.0,Yes,No,No,No,No,,8.0,8.0,6.0,7.0,6.0,4.0,4.0
3,Yes,O11,20.0,Yes,No,No,No,No,,8.0,9.0,9.0,7.0,8.0,6.0,5.0
4,Yes,O12,21.0,Yes,No,No,No,Yes,3,5.0,3.0,1.0,6.0,3.0,1.0,2.0
5,Yes,A7,20.0,Yes,No,No,No,No,,4.0,5.0,5.0,6.0,4.0,6.0,3.0
6,Yes,A8,21.0,No,Yes,No,No,No,,3.0,4.0,3.0,5.0,4.0,7.0,8.0
7,Yes,A9,20.0,Yes,No,No,No,Yes,1 year,6.0,5.0,5.0,6.0,5.0,4.0,4.0
8,Yes,O13,20.0,No,Yes,No,No,No,,7.0,5.0,7.0,9.0,6.0,8.0,9.0
9,Yes,S18,22.0,Yes,No,No,No,Yes,5,6.0,8.0,9.0,8.0,8.0,6.0,7.0
10,Yes,A10,17.0,No,Yes,No,No,No,,7.0,7.0,6.0,8.0,7.0,6.0,6.0
11,Yes,S1116154,21.0,Yes,No,No,No,No,,7.0,5.0,3.0,4.0,5.0,6.0,4.0
12,Yes,A11,19.0,Yes,No,No,No,Yes,almost 2 years,8.0,6.0,7.0,8.0,6.0,7.0,7.0
13,Yes,014,19.0,Yes,No,No,No,Yes,2,3.0,4.0,2.0,2.0,3.0,4.0,2.0
14,Yes,A12,19.0,Yes,No,No,No,No,,7.0,4.0,6.0,6.0,5.0,5.0,3.0
15,Yes,S20,21.0,No,Yes,No,No,Yes,3,7.0,6.0,4.0,3.0,5.0,6.0,2.0
16,Yes,O15,18.0,Yes,No,No,No,No,,8.0,8.0,9.0,7.0,3.0,3.0,3.0
17,Yes,A13,19.0,No,Yes,No,No,No,,7.0,5.0,6.0,4.0,3.0,7.0,4.0
18,Yes,S21,21.0,Yes,No,No,No,Yes,3,10.0,8.0,4.0,5.0,7.0,8.0,2.0
19,Yes,O16,22.0,Yes,No,No,No,Yes,3 years,8.0,3.0,4.0,7.0,5.0,4.0,4.0
20,Yes,S22,22.0,No,Yes,No,No,Yes,4,8.0,5.0,5.0,5.0,8.0,5.0,2.0
21,Yes,A14,21.0,Yes,No,No,No,No,no,7.0,8.0,5.0,4.0,4.0,8.0,7.0
22,Yes,O17,21.0,No,Yes,No,No,Yes,2 years,5.0,4.0,6.0,3.0,3.0,6.0,6.0
23,Yes,A15,21.0,Yes,No,No,No,Yes,3,4.0,1.0,3.0,2.0,4.0,3.0,2.0
24,Yes,S23,21.0,No,Yes,No,No,No,,7.0,4.0,6.0,6.0,8.0,3.0,2.0
